user,location,tweet,Date,Tweet Coordinates
Cowboy80777,,"RT @HeartAtul: All BB13 viewers will watch BBB3 💯🤣🤣🕺🕺

#SidHearts, SidNaazians, Shehnaazians, Asim Quad, Rashmians, Salmaniacs .. each and…",2020-12-06 10:10:30,
rujo_king,Blacksburg,"@elegiac_ai As he sprinted across the roof toward the quad-dropper, Grant could feel the explosions deep within the… https://t.co/QcnMYLe7LQ",2020-12-06 10:10:07,
BuildersEnglish,halifax,If any of my clients are followers are interested in playing a game of virtual bingo this will help raise money fou… https://t.co/uB9DOcUQh8,2020-12-06 10:08:55,
SipDeal100,Iceland,"RT @DealorsCom: Exclusive Deals You Don't Want To Miss!

Samsung Galaxy A31 SM-A315G/DS 4G LTE GSM (AT&amp;T Tmobile Metro Cricket Latin Caribb…",2020-12-06 10:06:23,
SipDailydeals50,"Navi Mumbai, India","RT @DealorsCom: Exclusive Deals You Don't Want To Miss!

Samsung Galaxy A31 SM-A315G/DS 4G LTE GSM (AT&amp;T Tmobile Metro Cricket Latin Caribb…",2020-12-06 10:05:38,
Mark_A_Jones_,"London, England","@Psycle_Doc Absolutely James.   Been thinking a lot about the potential 'Quad' of Organisational Development, Human… https://t.co/NS1aQLLvRz",2020-12-06 10:04:16,
rocky141415,,"RT @HeartAtul: All BB13 viewers will watch BBB3 💯🤣🤣🕺🕺

#SidHearts, SidNaazians, Shehnaazians, Asim Quad, Rashmians, Salmaniacs .. each and…",2020-12-06 10:03:42,
RizzleBonk,"ex swade,vocal",RT @Tierial: took me long enough to hit a quad head (audio didn't clip so I made my own sfx) https://t.co/hDCLCFJYfW,2020-12-06 10:03:10,
qu3nto, ,another nzap quad #Splatoon2 #NintendoSwitch https://t.co/hn3B6TX7I4,2020-12-06 10:02:59,
kelsi_sue,"上海, 中华人民共和国","@samikshainfotec @iingwen @joshuawongcf @chowtingagnes Oh, and this QUAD that you mentioned? https://t.co/QAAFx0Pysz",2020-12-06 10:01:46,
DealorsCom,USA,"Exclusive Deals You Don't Want To Miss!

Samsung Galaxy A31 SM-A315G/DS 4G LTE GSM (AT&amp;T Tmobile Metro Cricket Lati… https://t.co/vA8m9PWZtk",2020-12-06 10:01:39,
GilhamNick,Melbourne,Someone forgot to put the top weight with the claimer in the quad @cgilham12 https://t.co/sHl7MHC84j,2020-12-06 10:01:02,
AirlockOut,"Washington, USA",I used to Transport Geometric Tri-Devices and Binary Quad-Farms between the Parallel Stations Ranked Oxy-Ward State… https://t.co/IJTQWZZ9UI,2020-12-06 10:00:34,
DoniFFA,,Hit a S&amp;D quad and computer be broken rip,2020-12-06 10:00:27,
trilemma85,,"@quad_9s Video unavailable
The uploader has not made this video available in your country.",2020-12-06 10:00:11,
