user,location,tweet,Date,Tweet Coordinates
JodieVanExel,,It’s really a mf dat stay in Malabar dat gotta Zebra 😩,2020-12-04 19:11:49,
loganfclarke,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 19:10:47,
ANYAback,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 19:09:07,
purpgoddess313,"Detroit, MI","RT @blkhomesteader: (Malabar spinach) - ""If you think you are too small to make a difference, you haven't spent a night with a mosquito"" ht…",2020-12-04 19:04:00,
ramrenuv,,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 19:03:58,
smw8_,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 19:02:52,
naanumpaarkuren,,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 19:02:05,
AsiliKoshur,India,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 19:01:53,
Shortwalkme,,"How do you like the view?

'A fusion of cultures, a blend of styles and flavors. Go for an adventurous cocktail fro… https://t.co/5DylDn7Lxr",2020-12-04 19:00:16,
Kryssayy,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 19:00:12,
tonionextdoor,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:59:21,
Shrain________,🌴🇹🇹,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:58:45,
RaghuveerVasist,,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:58:11,
868_lisa,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:57:42,
Malabar_Bucolic,,@SpeakerPelosi There is no vaccine and we don’t have a new president. Don’t cave.,2020-12-04 18:57:35,
Singh_Shelby7,Bharat,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:56:55,
Ravi_Verma__,"New Delhi, India","RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:56:41,
_shaxana_,🇹🇹,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:55:54,
chelsea_jtr,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:55:42,
Malabar_Bucolic,,@Timodc @newsmax The commercial segments are delightful.,2020-12-04 18:53:51,
pralhadc,Akhand Bharat,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:53:32,
ayyplus,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:52:56,
keno_el_nino,Trinidad,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:52:38,
skiyer77,Kelper,"RT @_ugra_: After force feeding 2000 Nairs with beef &amp; converting them, tipoo went on to murder the Raja of Chirakkal. He followed this up…",2020-12-04 18:52:32,
natayleeyah,Trinidad,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:52:17,
timeseek1970,India / US,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:52:13,
haris_blr,Karnataka,"RT @_ugra_: After force feeding 2000 Nairs with beef &amp; converting them, tipoo went on to murder the Raja of Chirakkal. He followed this up…",2020-12-04 18:52:11,
am_kalki,bhoolok,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:50:45,
StoneddRosetta,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:50:08,
FightforDharma,,"RT @_ugra_: After force feeding 2000 Nairs with beef &amp; converting them, tipoo went on to murder the Raja of Chirakkal. He followed this up…",2020-12-04 18:50:02,
johannaalexiss,TriniBad,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:50:01,
FightforDharma,,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:49:42,
GANESHNYAUPANE,,"RT @USAmbIndia: On behalf of the U.S. Mission in India, a very happy #NavyDay to @IndianNavy.  We thank you for hosting the U.S., Japan, an…",2020-12-04 18:49:07,
MJaadugar,Mariana Trench,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:48:31,
IsaiahSacman,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:47:09,
WAP4JOON,SHE/HER | 22 | NSFW,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:47:01,
BramhaAham,,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:46:45,
Malabar_Bucolic,,@brian_granoff @JosephPatrice The first problem with your tweet is that Rick is not interested in debate based on this appearance.,2020-12-04 18:45:39,
ThePhoe70055686,Bangalore,"RT @_ugra_: After force feeding 2000 Nairs with beef &amp; converting them, tipoo went on to murder the Raja of Chirakkal. He followed this up…",2020-12-04 18:43:56,
Safi_NmS,Trinidad & Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:43:47,
ThePhoe70055686,Bangalore,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:43:38,
pjdsh1,,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:42:51,
marieexelle,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:42:08,
Smoovemick,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:42:07,
himanshu0070070,,"RT @USAmbIndia: On behalf of the U.S. Mission in India, a very happy #NavyDay to @IndianNavy.  We thank you for hosting the U.S., Japan, an…",2020-12-04 18:41:37,
1_3Indians,"ಕರ್ನಾಟಕ,भारत","RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:41:34,
GummiBoi17_PnV,Trinidad,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:41:31,
_ugra_,Bharatavarsha,"After force feeding 2000 Nairs with beef &amp; converting them, tipoo went on to murder the Raja of Chirakkal. He follo… https://t.co/mVkhX3oAzC",2020-12-04 18:41:02,
KianaaaaK,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:40:33,
naomiiict,Trinidad & Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:39:56,
javidali_,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:37:40,
kapildsharma,"Indraprastha, Bharat","RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:37:03,
sydneeee_s,Trinidad and Tobago ,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:36:24,
shubhamgupta318,"Bhopal, India","RT @USAmbIndia: On behalf of the U.S. Mission in India, a very happy #NavyDay to @IndianNavy.  We thank you for hosting the U.S., Japan, an…",2020-12-04 18:36:21,
TreJusThatSlick,Trinidad & Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:35:44,
SamparkRaj1,,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:35:23,
_Darshane_,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:34:42,
lani_lanz1,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:33:59,
868celestial,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:32:59,
trinisoysauce,Japan,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:31:45,
sal_flower_,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:31:25,
PRASHANT_P_BLR,Bangalore,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 18:31:21,
Kriticism_,🇮🇳,"RT @USAmbIndia: On behalf of the U.S. Mission in India, a very happy #NavyDay to @IndianNavy.  We thank you for hosting the U.S., Japan, an…",2020-12-04 18:31:19,
KillaBee___,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:31:06,
bekijatz,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:29:34,
omariokart,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 18:29:21,
